Behaviour,Actor,Receiver,T_start,T_stop
AC,0x0008,0x0023,2020-02-11T12:19:37.548965Z,2020-02-11T12:19:38.424031Z
AC,0x0008,0x0006,2020-02-11T12:20:35.924350Z,2020-02-11T12:20:37.799615Z
W,0x0008,,2020-02-11T12:20:42.174392Z,2020-02-11T12:20:48.674655Z
W,0x0008,,2020-02-11T12:21:01.299477Z,2020-02-11T12:21:08.174765Z
W,0x0008,,2020-02-11T12:21:56.924721Z,2020-02-11T12:22:29.924898Z
W,0x0009,,2020-02-11T11:53:55.415668Z,2020-02-11T11:54:09.290834Z
AC,0x0009,0x0002,2020-02-11T11:54:15.915832Z,2020-02-11T11:54:16.290865Z
SG,0x0009,,2020-02-11T11:54:17.540827Z,2020-02-11T11:54:19.165894Z
SG,0x0009,,2020-02-11T11:54:22.540861Z,2020-02-11T11:54:27.665946Z
AC,0x0009,0x0037,2020-02-11T11:54:29.540889Z,2020-02-11T11:54:30.165954Z
W,0x0009,,2020-02-11T11:56:05.041477Z,2020-02-11T11:56:10.666494Z
W,0x0009,,2020-02-11T11:58:28.792255Z,2020-02-11T11:58:49.667362Z
AC,0x0009,0x001D,2020-02-11T11:58:49.917324Z,2020-02-11T11:58:50.667362Z
SG,0x0009,,2020-02-11T11:59:15.167522Z,2020-02-11T11:59:23.917564Z
T,0x0009,0x0023,2020-02-11T11:59:26.042521Z,2020-02-11T12:00:23.667863Z
SG,0x0009,,2020-02-11T12:00:33.917924Z,2020-02-11T12:00:47.042986Z
SG,0x0009,,2020-02-11T12:01:36.418189Z,2020-02-11T12:01:50.668316Z
SG,0x0009,,2020-02-11T12:02:30.418532Z,2020-02-11T12:02:39.543524Z
SG,0x0009,,2020-02-11T12:02:51.668650Z,2020-02-11T12:03:21.418728Z
SG,0x0009,,2020-02-11T12:05:26.169469Z,2020-02-11T12:05:51.294540Z
SG,0x0009,,2020-02-11T12:05:53.794613Z,2020-02-11T12:06:01.669663Z
SG,0x0009,,2020-02-11T12:06:07.669692Z,2020-02-11T12:06:18.419735Z
SG,0x0009,,2020-02-11T12:06:54.044871Z,2020-02-11T12:06:56.919938Z
SG,0x0009,,2020-02-11T12:07:04.919944Z,2020-02-11T12:07:16.170036Z
W,0x0009,,2020-02-11T12:08:43.045433Z,2020-02-11T12:08:47.920537Z
AC,0x0009,0x002C,2020-02-11T12:08:48.545457Z,2020-02-11T12:08:49.295545Z
AC,0x0009,0x0032,2020-02-11T12:08:51.920560Z,2020-02-11T12:08:54.045516Z
AC,0x0009,0x0016,2020-02-11T12:09:51.795872Z,2020-02-11T12:09:52.795873Z
AC,0x0009,0x0006,2020-02-11T12:10:05.920942Z,2020-02-11T12:10:07.795965Z
SG,0x0009,,2020-02-11T12:10:19.795949Z,2020-02-11T12:10:28.421008Z
AC,0x0009,0x0026,2020-02-11T12:10:30.171077Z,2020-02-11T12:10:33.671050Z
